event_id,status,selected_controls,sector_relaxed,sector_filter_mode
CN-csi300-000066-20200601-20200615-add-01,matched,3,True,exact_when_available
CN-csi300-000069-20240531-20240614-del-01,matched,3,True,exact_when_available
CN-csi300-000301-20211126-20211210-add-01,matched,3,True,exact_when_available
CN-csi300-000408-20220527-20220610-add-01,matched,3,True,exact_when_available
CN-csi300-000413-20200601-20200615-del-01,skipped_no_valid_match,0,True,exact_when_available
CN-csi300-000415-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-000423-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-000629-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-000630-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-000630-20241129-20241213-add-02,matched,3,True,exact_when_available
CN-csi300-000656-20211126-20211210-del-01,matched,3,True,exact_when_available
CN-csi300-000708-20200601-20200615-add-01,matched,3,True,exact_when_available
CN-csi300-000723-20231124-20231208-del-01,matched,3,True,exact_when_available
CN-csi300-000728-20211126-20211210-del-01,matched,3,True,exact_when_available
CN-csi300-000733-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-000783-20220527-20220610-del-01,matched,3,True,exact_when_available
CN-csi300-000792-20220527-20220610-add-01,matched,3,True,exact_when_available
CN-csi300-000800-20251128-20251212-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-000807-20240531-20240614-add-01,matched,3,True,exact_when_available
CN-csi300-000860-20200601-20200615-add-01,matched,3,True,exact_when_available
CN-csi300-000860-20211126-20211210-del-02,matched,3,True,exact_when_available
CN-csi300-000877-20220527-20220610-add-01,matched,3,True,exact_when_available
CN-csi300-000877-20240531-20240614-del-02,matched,3,True,exact_when_available
CN-csi300-000898-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-000975-20241129-20241213-add-01,matched,3,True,exact_when_available
CN-csi300-000977-20200601-20200615-add-01,matched,3,True,exact_when_available
CN-csi300-000999-20231124-20231208-add-01,matched,3,True,exact_when_available
CN-csi300-001289-20220527-20220610-add-01,matched,3,True,exact_when_available
CN-csi300-001289-20251128-20251212-del-02,matched,3,True,exact_when_available
CN-csi300-001391-20250530-20250613-add-01,matched,3,True,exact_when_available
CN-csi300-001965-20240531-20240614-add-01,matched,3,True,exact_when_available
CN-csi300-002007-20250530-20250613-del-01,matched,3,True,exact_when_available
CN-csi300-002010-20200601-20200615-del-01,matched,3,True,exact_when_available
CN-csi300-002024-20220527-20220610-del-01,matched,3,True,exact_when_available
